time,open,high,low,close,volume,pair,exchange
2024-11-29 06:00:00,2.2789,2.2806,2.2789,2.2806,3.14,RLC-USD,Coinbase
2024-11-29 05:00:00,2.2857,2.2858,2.2721,2.2721,7485.58,RLC-USD,Coinbase
2024-11-29 04:00:00,2.2602,2.2854,2.2494,2.2854,2610.41,RLC-USD,Coinbase
2024-11-29 03:00:00,2.2813,2.2813,2.2538,2.2538,38423.76,RLC-USD,Coinbase
2024-11-29 02:00:00,2.2859,2.2917,2.2757,2.2814,8943.13,RLC-USD,Coinbase
2024-11-29 01:00:00,2.3062,2.3107,2.2771,2.2863,1456.09,RLC-USD,Coinbase
2024-11-29 00:00:00,2.3268,2.3268,2.2952,2.311,1469.1,RLC-USD,Coinbase
2024-11-28 23:00:00,2.3551,2.3654,2.3295,2.3368,3887.88,RLC-USD,Coinbase
2024-11-28 22:00:00,2.338,2.3711,2.3292,2.3652,1230.93,RLC-USD,Coinbase
2024-11-28 21:00:00,2.2986,2.3569,2.2971,2.3314,13749.46,RLC-USD,Coinbase
2024-11-28 20:00:00,2.3135,2.3248,2.2621,2.2919,11470.75,RLC-USD,Coinbase
2024-11-28 19:00:00,2.278,2.3281,2.2741,2.321,25251.92,RLC-USD,Coinbase
2024-11-28 18:00:00,2.2346,2.2751,2.2263,2.275,21978.36,RLC-USD,Coinbase
2024-11-28 17:00:00,2.2082,2.2412,2.2027,2.2335,3359.14,RLC-USD,Coinbase
2024-11-28 16:00:00,2.1512,2.2278,2.151,2.2012,14018.53,RLC-USD,Coinbase
2024-11-28 15:00:00,2.1742,2.1742,2.1331,2.1422,179.77,RLC-USD,Coinbase
2024-11-28 14:00:00,2.1919,2.1985,2.1697,2.1876,1592.68,RLC-USD,Coinbase
2024-11-28 13:00:00,2.1652,2.1883,2.1567,2.1883,657.42,RLC-USD,Coinbase
2024-11-28 12:00:00,2.1965,2.1965,2.1435,2.1775,4142.74,RLC-USD,Coinbase
2024-11-28 11:00:00,2.2142,2.2158,2.1944,2.2018,3078.23,RLC-USD,Coinbase
2024-11-28 10:00:00,2.195,2.214,2.1925,2.1966,429.9,RLC-USD,Coinbase
2024-11-28 09:00:00,2.2276,2.2313,2.1999,2.1999,377.35,RLC-USD,Coinbase
2024-11-28 08:00:00,2.2167,2.2297,2.2,2.2276,1217.94,RLC-USD,Coinbase
2024-11-28 07:00:00,2.2338,2.246,2.2163,2.2222,17079.37,RLC-USD,Coinbase
2024-11-28 06:00:00,2.2142,2.2342,2.2142,2.2342,12.39,RLC-USD,Coinbase
2024-11-28 05:00:00,2.2363,2.239,2.2068,2.2129,760.79,RLC-USD,Coinbase
2024-11-28 04:00:00,2.2084,2.2381,2.2058,2.2381,1544.61,RLC-USD,Coinbase
2024-11-28 03:00:00,2.2077,2.2259,2.1866,2.2006,990.61,RLC-USD,Coinbase
2024-11-28 02:00:00,2.2573,2.2573,2.1732,2.2073,7801.01,RLC-USD,Coinbase
2024-11-28 01:00:00,2.2572,2.2724,2.2523,2.2671,1454.76,RLC-USD,Coinbase
2024-11-28 00:00:00,2.2432,2.2745,2.222,2.2576,35540.37,RLC-USD,Coinbase
2024-11-27 23:00:00,2.2239,2.2558,2.2132,2.2483,3975.9,RLC-USD,Coinbase
2024-11-27 22:00:00,2.1991,2.24,2.1783,2.2174,78760.0,RLC-USD,Coinbase
2024-11-27 21:00:00,2.1867,2.2002,2.1722,2.2002,1170.93,RLC-USD,Coinbase
2024-11-27 20:00:00,2.2093,2.2109,2.1829,2.1893,2923.77,RLC-USD,Coinbase
2024-11-27 19:00:00,2.2302,2.2307,2.1931,2.2131,6387.45,RLC-USD,Coinbase
2024-11-27 18:00:00,2.2369,2.2551,2.2356,2.2356,2081.3,RLC-USD,Coinbase
2024-11-27 17:00:00,2.2145,2.2548,2.206,2.2504,3023.15,RLC-USD,Coinbase
2024-11-27 16:00:00,2.2028,2.25,2.1993,2.2183,23584.85,RLC-USD,Coinbase
2024-11-27 15:00:00,2.1608,2.204,2.1551,2.204,5970.73,RLC-USD,Coinbase
2024-11-27 14:00:00,2.1959,2.1959,2.1229,2.161,113143.88,RLC-USD,Coinbase
2024-11-27 13:00:00,2.1694,2.2054,2.1694,2.2054,4291.34,RLC-USD,Coinbase
2024-11-27 12:00:00,2.2019,2.2063,2.154,2.1751,873.86,RLC-USD,Coinbase
2024-11-27 11:00:00,2.1756,2.2017,2.1725,2.2015,6045.17,RLC-USD,Coinbase
2024-11-27 10:00:00,2.145,2.1709,2.1281,2.1708,1155.65,RLC-USD,Coinbase
2024-11-27 09:00:00,2.1317,2.1409,2.1207,2.1409,1565.99,RLC-USD,Coinbase
2024-11-27 08:00:00,2.1404,2.1455,2.1134,2.1392,4862.42,RLC-USD,Coinbase
2024-11-27 07:00:00,2.1186,2.1442,2.1183,2.1286,1947.56,RLC-USD,Coinbase
2024-11-27 06:00:00,2.1051,2.1338,2.1051,2.1147,1318.61,RLC-USD,Coinbase
2024-11-27 05:00:00,2.105,2.1185,2.0911,2.1083,10566.2,RLC-USD,Coinbase
2024-11-27 04:00:00,2.096,2.122,2.0958,2.1115,1368.32,RLC-USD,Coinbase
2024-11-27 03:00:00,2.1039,2.1122,2.0888,2.096,225.73,RLC-USD,Coinbase
2024-11-27 02:00:00,2.1007,2.1039,2.0705,2.1037,189.06,RLC-USD,Coinbase
2024-11-27 01:00:00,2.0761,2.1053,2.0737,2.1042,1222.52,RLC-USD,Coinbase
