time,open,high,low,close,volume,pair,exchange
2024-10-30 07:00:00,0.243,0.243,0.243,0.243,0.243,1INCH-EUR,Kraken
2024-10-30 08:00:00,0.242,0.242,0.242,0.242,0.242,1INCH-EUR,Kraken
2024-10-30 09:00:00,0.242,0.242,0.242,0.242,0.000,1INCH-EUR,Kraken
2024-10-30 10:00:00,0.242,0.242,0.242,0.242,0.000,1INCH-EUR,Kraken
2024-10-30 11:00:00,0.242,0.242,0.242,0.242,0.000,1INCH-EUR,Kraken
2024-10-30 12:00:00,0.238,0.239,0.238,0.239,0.238,1INCH-EUR,Kraken
2024-10-30 13:00:00,0.239,0.239,0.239,0.239,0.239,1INCH-EUR,Kraken
2024-10-30 14:00:00,0.241,0.241,0.241,0.241,0.241,1INCH-EUR,Kraken
2024-10-30 15:00:00,0.240,0.240,0.240,0.240,0.240,1INCH-EUR,Kraken
2024-10-30 16:00:00,0.241,0.241,0.241,0.241,0.241,1INCH-EUR,Kraken
2024-10-30 17:00:00,0.239,0.239,0.239,0.239,0.239,1INCH-EUR,Kraken
2024-10-30 18:00:00,0.239,0.239,0.239,0.239,0.239,1INCH-EUR,Kraken
2024-10-30 19:00:00,0.239,0.239,0.239,0.239,0.000,1INCH-EUR,Kraken
2024-10-30 20:00:00,0.239,0.239,0.239,0.239,0.000,1INCH-EUR,Kraken
2024-10-30 21:00:00,0.239,0.239,0.239,0.239,0.000,1INCH-EUR,Kraken
2024-10-30 22:00:00,0.237,0.238,0.235,0.238,0.237,1INCH-EUR,Kraken
2024-10-30 23:00:00,0.238,0.238,0.238,0.238,0.000,1INCH-EUR,Kraken
2024-10-31 00:00:00,0.238,0.238,0.238,0.238,0.000,1INCH-EUR,Kraken
2024-10-31 01:00:00,0.237,0.237,0.237,0.237,0.237,1INCH-EUR,Kraken
2024-10-31 02:00:00,0.237,0.237,0.237,0.237,0.237,1INCH-EUR,Kraken
2024-10-31 03:00:00,0.237,0.237,0.237,0.237,0.000,1INCH-EUR,Kraken
2024-10-31 04:00:00,0.237,0.237,0.237,0.237,0.000,1INCH-EUR,Kraken
2024-10-31 05:00:00,0.237,0.237,0.237,0.237,0.000,1INCH-EUR,Kraken
2024-10-31 06:00:00,0.236,0.236,0.236,0.236,0.236,1INCH-EUR,Kraken
2024-10-31 07:00:00,0.236,0.236,0.236,0.236,0.000,1INCH-EUR,Kraken
2024-10-31 08:00:00,0.234,0.234,0.234,0.234,0.234,1INCH-EUR,Kraken
2024-10-31 09:00:00,0.234,0.234,0.233,0.234,0.233,1INCH-EUR,Kraken
2024-10-31 10:00:00,0.234,0.234,0.233,0.234,0.233,1INCH-EUR,Kraken
2024-10-31 11:00:00,0.234,0.234,0.234,0.234,0.000,1INCH-EUR,Kraken
2024-10-31 12:00:00,0.234,0.234,0.234,0.234,0.000,1INCH-EUR,Kraken
2024-10-31 13:00:00,0.233,0.233,0.231,0.231,0.232,1INCH-EUR,Kraken
2024-10-31 14:00:00,0.231,0.232,0.228,0.232,0.230,1INCH-EUR,Kraken
2024-10-31 15:00:00,0.232,0.232,0.232,0.232,0.000,1INCH-EUR,Kraken
2024-10-31 16:00:00,0.232,0.232,0.232,0.232,0.000,1INCH-EUR,Kraken
2024-10-31 17:00:00,0.227,0.227,0.227,0.227,0.227,1INCH-EUR,Kraken
2024-10-31 18:00:00,0.225,0.225,0.225,0.225,0.225,1INCH-EUR,Kraken
2024-10-31 19:00:00,0.225,0.225,0.225,0.225,0.000,1INCH-EUR,Kraken
2024-10-31 20:00:00,0.224,0.224,0.224,0.224,0.224,1INCH-EUR,Kraken
2024-10-31 21:00:00,0.224,0.224,0.224,0.224,0.000,1INCH-EUR,Kraken
2024-10-31 22:00:00,0.226,0.226,0.226,0.226,0.226,1INCH-EUR,Kraken
2024-10-31 23:00:00,0.226,0.226,0.226,0.226,0.000,1INCH-EUR,Kraken
2024-11-01 00:00:00,0.226,0.226,0.226,0.226,0.000,1INCH-EUR,Kraken
2024-11-01 01:00:00,0.223,0.223,0.223,0.223,0.223,1INCH-EUR,Kraken
2024-11-01 02:00:00,0.223,0.223,0.223,0.223,0.000,1INCH-EUR,Kraken
2024-11-01 03:00:00,0.223,0.223,0.223,0.223,0.000,1INCH-EUR,Kraken
2024-11-01 04:00:00,0.223,0.223,0.223,0.223,0.000,1INCH-EUR,Kraken
2024-11-01 05:00:00,0.223,0.223,0.223,0.223,0.000,1INCH-EUR,Kraken
2024-11-01 06:00:00,0.224,0.224,0.224,0.224,0.224,1INCH-EUR,Kraken
2024-11-01 07:00:00,0.224,0.224,0.224,0.224,0.000,1INCH-EUR,Kraken
2024-11-01 08:00:00,0.224,0.224,0.224,0.224,0.224,1INCH-EUR,Kraken
